    NEVC   Thick
     yr     (cm)
    5103   1.501
    5104   4.109
    5105   2.787
    5106   2.790
    5107   3.203
    5108   3.838
    5109   3.370
    5110   3.059
    5111   3.051
    5112   2.714
    5113   4.203
    5114   2.435
    5115   5.078
    5116   3.009
    5117   2.265
    5118   2.835
    5119   5.554
    5120   4.299
    5121   4.513
    5122   2.159
    5123   2.216
    5124   3.820
    5125   5.055
    5126   4.941
    5127   4.788
    5128   2.646
    5129   4.719
    5130   1.976
    5131   3.890
    5132   3.620
    5133   3.821
    5134   5.172
    5135   1.934
    5136   3.142
    5137   2.663
    5138   1.792
    5139   2.829
    5140   4.845
    5141   3.035
    5142   2.425
    5143   2.013
    5144   2.840
    5145   3.105
    5146   2.966
    5147   2.867
    5148   4.176
    5149   2.446
    5150   5.984
    5151   3.295
    5152   1.591
    5153   4.026
    5154   2.309
    5155   2.803
    5156   1.651
    5157   2.300
    5158   3.384
    5159   3.184
    5160   5.426
    5161   2.258
    5162   2.675
    5163   3.244
    5164   5.473
    5165   1.573
    5166   2.053
    5167   3.857
    5168   1.896
    5169   4.189
    5170   2.755
    5171   2.491
    5172   4.102
    5173   2.900
    5174   1.402
    5175   2.872
    5176   2.850
    5177   2.407
    5178   2.823
    5179   2.456
    5180   2.847
    5181   1.825
    5182   1.906
    5183   0.949
    5184   1.827
    5185   4.157
    5186   2.956
    5187   0.919
    5188   3.262
    5189   4.076
    5190   3.606
    5191   4.010
    5192   5.709
    5193   2.890
    5194   1.355
    5195   4.082
    5196   1.071
    5197   1.499
    5198   1.696
    5199   2.434
    5200   3.838
    5201   4.584
    5202   3.734
    5203   1.989
    5204   1.321
    5205   4.089
    5206   5.054
    5207   1.574
    5208   1.904
    5209   2.207
    5210   2.200
    5211   3.113
    5212   1.266
    5213   2.658
    5214   0.968
    5215   3.499
    5216   1.886
    5217   4.935
    5218   3.711
    5219   1.801
    5220   1.859
    5221   1.916
    5222   5.494
    5223   2.627
    5224   1.521
    5225   1.578
    5226   2.995
    5227   4.280
    5228   2.140
    5229   1.912
    5230   3.069
    5231   1.770
    5232   1.388
    5233   2.117
    5234   1.761
    5235   1.599
    5236   3.622
    5237   2.956
    5238   1.876
