NAVC calibration based on INTCAL09 data set (Reimer et al., 2009)
Best fit of INTCAL09 to C-14 ages from NAVC was determined by
trials of different offsets (Calibrated ages of NAVC-AM "0" Varve)
that minimized a goodness-of-fit statistic (mean square of
weighted deviations). The best offset is 20770 cal yr BP
 = AM 0 yr
All ages are in yr BP (1950 AD)

  Offset (Calibrated age of NAVC-AM "0" Varve =  20770

  AM year  Cal age (yr BP)  C-14 age (yr BP)  C-14 error (yr)

    8500        12270.          10394.           20.
    8490        12280.          10390.           22.
    8480        12290.          10383.           20.
    8470        12300.          10376.           19.
    8460        12310.          10380.           20.
    8450        12320.          10393.           18.
    8440        12330.          10397.           17.
    8430        12340.          10395.           18.
    8420        12350.          10388.           17.
    8410        12360.          10369.           16.
    8400        12370.          10375.           18.
    8390        12380.          10398.           18.
    8380        12390.          10423.           16.
    8370        12400.          10440.           19.
    8360        12410.          10455.           19.
    8350        12420.          10475.           19.
    8340        12430.          10501.           20.
    8330        12440.          10519.           19.
    8320        12450.          10523.           20.
    8310        12460.          10515.           23.
    8300        12470.          10501.           24.
    8290        12480.          10492.           24.
    8280        12490.          10486.           27.
    8270        12500.          10481.           23.
    8260        12510.          10476.           20.
    8250        12520.          10493.           18.
    8240        12530.          10521.           16.
    8230        12540.          10530.           16.
    8220        12550.          10553.           46.
    8210        12560.          10576.           59.
    8200        12570.          10600.           68.
    8190        12580.          10626.           74.
    8180        12590.          10652.           77.
    8170        12600.          10678.           78.
    8160        12610.          10702.           77.
    8150        12620.          10723.           75.
    8140        12630.          10741.           72.
    8130        12640.          10759.           72.
    8120        12650.          10780.           76.
    8110        12660.          10802.           80.
    8100        12670.          10822.           82.
    8090        12680.          10840.           83.
    8080        12690.          10856.           83.
    8070        12700.          10870.           82.
    8060        12710.          10883.           80.
    8050        12720.          10895.           78.
    8040        12730.          10906.           76.
    8030        12740.          10916.           75.
    8020        12750.          10927.           73.
    8010        12760.          10938.           73.
    8000        12770.          10947.           71.
    7990        12780.          10955.           70.
    7980        12790.          10961.           69.
    7970        12800.          10965.           68.
    7960        12810.          10968.           67.
    7950        12820.          10969.           66.
    7940        12830.          10970.           66.
    7930        12840.          10972.           66.
    7920        12850.          10975.           66.
    7910        12860.          10980.           67.
    7900        12870.          10987.           68.
    7890        12880.          10997.           69.
    7880        12890.          11009.           69.
    7870        12900.          11022.           69.
    7860        12910.          11034.           68.
    7850        12920.          11046.           65.
    7840        12930.          11058.           61.
    7830        12940.          11068.           57.
    7820        12950.          11077.           53.
    7810        12960.          11085.           50.
    7800        12970.          11093.           48.
    7790        12980.          11100.           48.
    7780        12990.          11104.           47.
    7770        13000.          11104.           47.
    7760        13010.          11100.           46.
    7750        13020.          11094.           45.
    7740        13030.          11090.           44.
    7730        13040.          11088.           44.
    7720        13050.          11090.           45.
    7710        13060.          11094.           45.
    7700        13070.          11103.           45.
    7690        13080.          11117.           47.
    7680        13090.          11140.           50.
    7670        13100.          11168.           53.
    7660        13110.          11196.           55.
    7650        13120.          11219.           54.
    7640        13130.          11238.           53.
    7630        13140.          11253.           52.
    7620        13150.          11265.           53.
    7610        13160.          11275.           53.
    7600        13170.          11285.           53.
    7590        13180.          11295.           52.
    7580        13190.          11303.           52.
    7570        13200.          11311.           52.
    7560        13210.          11318.           51.
    7550        13220.          11323.           51.
    7540        13230.          11330.           52.
    7530        13240.          11338.           54.
    7520        13250.          11350.           57.
    7510        13260.          11364.           61.
    7500        13270.          11381.           64.
    7490        13280.          11401.           66.
    7480        13290.          11421.           66.
    7470        13300.          11440.           64.
    7460        13310.          11457.           62.
    7450        13320.          11472.           60.
    7440        13330.          11484.           58.
    7430        13340.          11496.           56.
    7420        13350.          11506.           55.
    7410        13360.          11516.           55.
    7400        13370.          11526.           55.
    7390        13380.          11539.           56.
    7380        13390.          11553.           58.
    7370        13400.          11568.           59.
    7360        13410.          11583.           61.
    7350        13420.          11598.           64.
    7340        13430.          11614.           66.
    7330        13440.          11630.           67.
    7320        13450.          11646.           67.
