 NEVC      Total  5-yr running average
  yr        (cm)
 6946.0     2.754
 6947.0     2.614
 6948.0     2.579
 6949.0     2.532
 6950.0     2.188
 6951.0     2.023
 6952.0     1.592
 6953.0     1.483
 6954.0     1.613
 6955.0     1.617
 6956.0     1.596
 6957.0     1.626
 6958.0     1.528
 6959.0     1.279
 6960.0     1.201
 6961.0     1.038
 6962.0     1.052
 6963.0     1.039
 6964.0      .970
 6965.0     1.119
 6966.0     1.138
 6967.0     1.167
 6968.0     1.301
 6969.0     1.599
 6970.0     1.519
 6971.0     1.700
 6972.0     1.675
 6973.0     1.671
 6974.0     1.487
 6975.0     1.394
 6976.0     1.233
 6977.0     1.213
 6978.0     1.179
 6979.0     1.224
 6980.0     1.256
 6981.0     1.255
 6982.0     1.806
 6983.0     1.931
 6984.0     2.286
 6985.0     2.546
 6986.0     2.808
 6987.0     3.181
 6988.0     3.273
 6989.0     2.821
 6990.0     2.741
 6991.0     2.512
 6992.0     1.683
 6993.0     1.495
 6994.0     1.512
 6995.0     1.372
 6996.0     1.498
 6997.0     1.499
 6998.0     1.443
 6999.0     1.408
 7000.0     1.336
 7001.0     1.220
 7002.0     1.181
 7003.0     1.148
 7004.0     1.114
 7005.0     1.536
 7006.0     1.613
 7007.0     1.677
 7008.0     1.704
 7009.0     1.900
 7010.0     1.412
 7011.0     1.271
 7012.0     1.265
 7013.0     1.211
 7014.0     1.040
 7015.0     1.163
 7016.0     1.140
 7017.0     1.083
 7018.0     1.398
 7019.0     1.554
 7020.0     1.586
 7021.0     1.659
 7022.0     1.652
 7023.0     1.434
 7024.0     1.299
 7025.0     1.226
 7026.0     1.900
 7027.0     1.973
 7028.0     1.989
 7029.0     1.954
 7030.0     1.970
 7031.0     1.285
 7032.0     1.248
 7033.0     1.133
 7034.0     1.377
 7035.0     1.648
 7036.0     1.573
 7037.0     1.590
 7038.0     1.627
 7039.0     1.424
 7040.0     1.082
 7041.0     1.078
 7042.0      .944
 7043.0      .922
 7044.0      .862
 7045.0      .960
 7046.0     1.029
 7047.0     1.041
 7048.0     1.013
 7049.0      .997
 7050.0      .993
 7051.0      .995
 7052.0     1.047
 7053.0     1.025
 7054.0     1.061
 7055.0     1.024
 7056.0      .980
 7057.0      .892
 7058.0     1.042
 7059.0     1.102
 7060.0     1.142
 7061.0     1.247
 7062.0     1.399
 7063.0     1.389
 7064.0     1.322
 7065.0     1.194
 7066.0     1.023
 7067.0      .936
 7068.0      .865
 7069.0      .933
 7070.0      .995
 7071.0     1.013
 7072.0      .962
 7073.0      .981
 7074.0      .875
 7075.0      .876
 7076.0      .918
 7077.0      .968
 7078.0      .931
 7079.0      .960
 7080.0      .979
 7081.0      .976
 7082.0      .949
 7083.0      .940
 7084.0      .901
 7085.0      .960
 7086.0      .948
 7087.0      .982
 7088.0      .967
 7089.0     1.049
 7090.0     1.049
 7091.0     1.152
 7092.0     1.161
 7093.0     1.181
 7094.0     1.142
 7095.0     1.064
 7096.0      .955
 7097.0     1.006
 7098.0      .961
 7099.0     1.027
 7100.0     1.015
 7101.0     1.133
 7102.0     1.091
 7103.0     1.210
 7104.0     1.224
 7105.0     1.191
 7106.0     1.102
 7107.0     1.084
 7108.0     1.088
 7109.0     1.085
 7110.0     1.208
 7111.0     1.359
 7112.0     1.482
 7113.0     1.519
 7114.0     1.492
 7115.0     1.330
 7116.0     1.126
 7117.0     1.071
 7118.0      .902
 7119.0      .775
 7120.0      .820
 7121.0      .854
 7122.0      .817
 7123.0      .909
 7124.0      .992
 7125.0     1.353
 7126.0     1.333
 7127.0     1.242
 7128.0     1.170
 7129.0     1.100
 7130.0      .708
 7131.0      .666
 7132.0      .668
 7133.0      .604
 7134.0      .676
 7135.0      .704
 7136.0      .766
 7137.0      .766
 7138.0      .816
 7139.0      .797
 7140.0      .756
 7141.0      .704
 7142.0      .703
 7143.0      .654
 7144.0      .724
 7145.0      .750
 7146.0      .785
 7147.0      .768
 7148.0      .807
 7149.0      .724
 7150.0      .770
 7151.0      .791
 7152.0      .847
 7153.0      .888
 7154.0      .862
 7155.0      .791
